date,cantidad_entregas
2019-09-05,2769
2019-09-06,8474
2019-09-07,613
2019-09-08,346
2019-09-09,4814
2019-09-10,4767
2019-09-11,3850
2019-09-12,3856
2019-09-13,3911
2019-09-14,1621
2019-09-15,801
2019-09-16,4395
2019-09-17,4425
2019-09-18,4133
2019-09-19,4129
2019-09-20,4165
2019-09-21,1308
2019-09-22,475
2019-09-23,3744
2019-09-24,4246
2019-09-25,3448
2019-09-26,3803
2019-09-27,3720
2019-09-28,1283
2019-09-29,314
2019-09-30,4049
2019-10-01,3895
2019-10-02,3875
2019-10-03,3811
2019-10-04,3815
2019-10-05,1233
2019-10-06,503
2019-10-07,4508
2019-10-08,4203
2019-10-09,4374
2019-10-10,4197
2019-10-11,3460
2019-10-12,1184
2019-10-13,444
2019-10-14,3041
2019-10-15,4707
2019-10-16,4283
2019-10-17,4518
2019-10-18,3266
2019-10-19,1382
2019-10-20,429
2019-10-21,5073
2019-10-22,4206
2019-10-23,4063
2019-10-24,4300
2019-10-25,3849
2019-10-26,1397
2019-10-27,458
2019-10-28,4675
2019-10-29,4140
2019-10-30,3973
2019-10-31,4479
2019-11-01,3819
2019-11-02,1209
2019-11-03,403
2019-11-04,5279
2019-11-05,4922
2019-11-06,5027
2019-11-07,4351
2019-11-08,4540
2019-11-09,1414
2019-11-10,370
2019-11-11,4625
2019-11-12,4706
2019-11-13,4518
2019-11-14,4551
2019-11-15,4691
2019-11-16,1794
2019-11-17,610
2019-11-18,1205
2019-11-19,4287
2019-11-20,4391
2019-11-21,4018
2019-11-22,3765
2019-11-23,1723
2019-11-24,256
2019-11-25,4329
2019-11-26,4918
2019-11-27,9283
2019-11-28,4047
2019-11-29,4431
2019-11-30,1405
2019-12-01,400
2019-12-02,5047
2019-12-03,4491
2019-12-04,4440
